SKU,Title,Description,Price,Offer Price,List/Unlist
MLF02,HKULA Matte Liquid Foundation Full Coverage 24HR Waterproof Oil Control,"Lightweight, breathable matte liquid foundation with creamy texture that blends effortlessly for a flawless, natural look. Delivers 24-hour full coverage, hides pores, wrinkles, and fine lines for radiant skin. Formulated with oil control ingredients to reduce shine and provide a long-lasting matte finish. Sweatproof, waterproof, and enriched with hyaluronic acid to keep skin hydrated and smooth all day.",1999,1599,LIST
MLF03,HKULA Matte Liquid Foundation Full Coverage Long Wear,"Lightweight matte foundation with creamy non-greasy texture for a natural finish. Full coverage formula lasts up to 24 hours, conceals imperfections, brightens complexion, and reduces fine lines. Controls oil and shine with a waterproof and sweat-resistant base. Infused with hydrating hyaluronic acid to maintain moisture and smooth skin.",1999,1499,LIST
MNL01,HKULA Long Lasting Nude Matte Lip Gloss Non-Stick,"Smudge-proof, non-stick nude matte lip gloss with long-lasting wear. Stays on all day without fading or transferring. Vegan and cruelty-free formula designed for all-day comfort and bold matte color.",1200,999,LIST
MNL05,HKULA Long Lasting Nude Matte Lip Gloss Vegan Formula,"Long wear matte nude lip gloss with non-stick, smudge-proof finish. Provides a bold look with fade-resistant coverage. Vegan and cruelty-free, ideal for everyday glam or evening wear.",1200,999,LIST
MNL06,HKULA Nude Matte Lip Gloss Long Lasting Waterproof,"High-performance nude matte lip gloss with all-day wear and non-fade technology. Non-sticky formula perfect for a comfortable, bold matte finish. Vegan and cruelty-free beauty essential.",1200,999,LIST
MNL08,HKULA Nude Lip Gloss Matte Finish Smudge Proof,"Matte nude lip gloss with smudge-proof and long-lasting coverage. Lightweight, non-stick formula that stays on throughout the day. Cruelty-free and vegan makeup for modern beauty lovers.",1000,799,LIST
ESP12,HKULA Eyeshadow Palette 12 Colors Matte & Shimmer,"Versatile 12-color eyeshadow palette featuring matte, shimmer, natural, and glitter shades. Custom-designed for Pakistani skin tones with waterproof mineral powder formula for long-lasting eye makeup.",2500,2199,LIST
HB311RD,3 Piece Large Capacity Ladies Handbag Set,"Elegant 3-piece handbag set with large storage capacity. Stylish design suitable for daily use, work, travel, or shopping. Durable and spacious with multi-use functionality.",3200,,LIST
HB128RD,Luxury Womenâ€™s Handbag Classic Design,"Premium luxury handbag for women with a sophisticated look. Ideal for formal events or everyday elegance. Stylish, durable, and perfect for versatile styling.",2250,,LIST
HB123RD,Dear D Cor Crossbody Bag Red,Trendy and compact crossbody bag in red color. Features a stylish design with enough space for daily essentials. Lightweight and perfect for casual wear or outings.,1200,,LIST
HB123SL,Dear D Cor Crossbody Bag Silver,Chic crossbody handbag in silver finish with a modern compact design. Great for day-to-night transitions and minimalistic fashion lovers.,1200,,LIST
HB123GD,Dear D Cor Crossbody Bag Gold,"Gold tone crossbody handbag with elegant style and durable build. Suitable for parties, casual events, and fashion-forward use.",1200,,LIST
HB123BK,Dear D Cor Crossbody Bag Black,Black compact crossbody handbag with stylish structure and easy-to-carry design. Perfect for everyday use and sleek street style fashion.,1200,,LIST
HB050RD,Large Top Handle Bag Red for Women,"Spacious red top handle bag for women with a structured silhouette. Combines fashion and function for office, travel, or daily style.",2700,,LIST
HB050BK,Large Top Handle Bag Black for Women,"Elegant black top handle handbag for women with roomy compartments. Stylish and practical, ideal for work or casual use.",2700,,LIST
HB030RD,Women's Satchel Shoulder Bag Red,Trendy red satchel shoulder bag with classic design. Perfect blend of elegance and space for work or casual outfits.,3200,,LIST
HB030BL,Women's Satchel Shoulder Bag Blue,Blue shoulder satchel handbag for women with structured style and durable finish. Great for office and travel wear.,3200,,LIST
HB030BK,Women's Satchel Shoulder Bag Black,"Classic black women's satchel with shoulder strap. Spacious, elegant, and ideal for formal or casual occasions.",3200,,LIST
HB014BK,Diamond Design Messenger Bag Black Patent,"Black messenger bag with diamond quilted design in soft patent material. Stylish, compact, and perfect for modern fashion.",2000,,LIST
HB014GD,Diamond Design Messenger Bag Gold Patent,Gold patent messenger handbag with a diamond quilted style. Classy design for events and night outings.,2000,,LIST
HB014RD,Diamond Design Messenger Bag Red Patent,Trendy red messenger bag with diamond pattern and glossy finish. Elegant and compact for all-day use.,2000,,LIST
HB014PK,Diamond Design Messenger Bag Pink Patent,"Soft pink patent messenger bag with quilted diamond detailing. Lightweight, fashionable, and feminine.",2000,,LIST
BP02BL,Korean Casual Shoulder Backpack Blue,"Trendy blue Korean-style shoulder backpack for school, shopping, or casual travel. Stylish, durable, and versatile for daily use.",1700,,LIST
BP02PK,Korean Casual Shoulder Backpack Pink,"Cute pink shoulder backpack in Korean fashion style. Lightweight and perfect for school, meetups, or outings.",1700,,LIST
BP01BK,Stylish Black Backpack for Girls,"Black backpack for girls with modern design. Great for everyday use, school, or casual styling.",2200,,LIST
BP02PL,Korean Casual Shoulder Backpack Pink,"Purple stylish backpack with ergonomic design for school, shopping, or weekend trips. Durable and easy to carry.",2200,,LIST
MOR1,9 Grid Makeup Organizer Rack,"Compact makeup organizer rack with 9 grids for easy storage of brushes, bottles, or makeup tools. Keeps vanity clean and stylish.",800,,LIST
MB24PK,Professional Makeup Brush Set with Folding Bag,24-piece pink makeup brush set with professional-quality brushes and a sleek black folding storage bag. Ideal for travel and daily use.,1500,,LIST
MB24BR,24 Piece Professional Makeup Brushes Set,"Complete 24-piece brush set for face and eye makeup application. Includes high-quality tools for blending, contouring, and more.",1500,,LIST
MB32PK,32 Pcs Makeup Brush Set with Pouch Pink,Set of 32 pink professional makeup brushes with soft bristles and carrying pouch. Covers all your makeup needs for home or travel.,1850,,LIST
MB32BR,32 Pcs Professional Makeup Brush Set Brown,Complete brown brush set with 32 tools for face and eye makeup. Ideal for beginners and pros. Includes storage pouch.,1850,,LIST
MB11BR,11 Pcs Makeup Brushes Beige Set,"Essential beige brush set with 11 pieces for foundation, blush, eyeshadow, and more. Soft bristles for smooth application.",999,,LIST
MB20NN,20 Pcs Multicolor Makeup Brush Set,Vibrant multicolor brush set with 20 professional-grade tools. Designed for full-face makeup and creative looks.,1450,,LIST
MB10GD,10 Pcs Black Gold Makeup Brush Set,"Black and gold 10-piece brush set for flawless application. Compact, soft-bristled, and ideal for travel or daily makeup.",999,,LIST
MB10BK,10 Pcs Black Makeup Brush Set,Basic black brush set with 10 essential pieces for everyday makeup. Travel-friendly and easy to clean.,999,,LIST
MB07PK,7 Pcs Simple Pink Makeup Brush Set,"Minimalist 7-piece pink brush set for simple daily makeup routines. Compact, lightweight, and great for gifting.",700,,LIST
MB07NN,7 Pcs Mermaid Neon Makeup Brushes,"Fun mermaid-themed 7-piece brush set in neon colors. Great for teens, gifting, or playful makeup styles.",1200,,LIST
MS04,4 Pc Mushroom Head Foundation Puffs,Set of 4 mushroom head makeup sponges for smooth foundation application. Easy to use and wash. Soft and skin-friendly.,400,,LIST
MB01,1 Pc Foundation Makeup Brush Professional,"Single foundation brush with soft bristles for smooth, even coverage. Essential tool for liquid and cream foundation.",300,,LIST
MBOT4,4 Pc Travel Plastic Spray & Lotion Bottles,"Set of 4 small plastic bottles for lotion, mist, or spray. Ideal for travel, home use, or DIY beauty products.",250,,LIST
